,ra,dec,Name,alpha0,alpha,dunham_alpha,source,source_id
111971,282.2004555,-36.2823437,J184848.10-361656.4 ,-0.6644451855132426,-0.35444518551324256,False,marton16,111971
111972,282.0944735,-36.6706267,J184822.67-364014.2 ,-1.5438200791302612,-1.2338200791302611,False,marton16,111972
116462,282.076205,-37.1843583,J184818.28-371103.6 ,-1.7765482299542572,-1.4665482299542572,False,marton16,116462
120933,285.4802024,-37.3947436,J190155.24-372341.0 ,-0.7945060914854103,-0.4845060914854103,False,marton16,120933
120934,285.1888232,-37.1967748,J190045.31-371148.3 ,-1.32,-0.9,True,marton16,120934
120939,283.8421597,-37.8012568,J185522.11-374804.5 ,-0.632502859629099,-0.32250285962909897,False,marton16,120939
120940,284.165616,-37.1224482,J185639.74-370720.8 ,-1.38,-1.17,True,marton16,120940
120961,285.3573893,-36.9887329,J190125.77-365919.4 ,-1.63,-1.38,True,marton16,120961
120962,285.2858827,-36.9557473,J190108.61-365720.6 ,-1.22,-0.8,True,marton16,120962
120963,285.3847256,-36.9676053,J190132.33-365803.3 ,-1.71,-1.19,True,marton16,120963
120964,285.2783912,-36.9560597,J190106.81-365721.8 ,,,False,marton16,120964
120965,285.2979273,-36.7594751,J190111.50-364534.1 ,-1.44208413466768,-1.13208413466768,False,marton16,120965
120966,285.3289381,-36.9745897,J190118.94-365828.5 ,-1.47,-0.92,True,marton16,120966
120967,285.3911193,-36.9625536,J190133.86-365745.1 ,-1.31,-0.65,True,marton16,120967
120968,285.00658,-36.6182813,J190001.57-363705.8 ,-1.1937124022615135,-0.8837124022615135,False,marton16,120968
120970,289.6289381,-36.5835233,J191830.94-363500.6 ,0.34215710856092807,0.6521571085609281,False,marton16,120970
120980,285.7993648,-37.1506632,J190311.84-370902.3 ,-1.79,-1.46,True,marton16,120980
120981,286.0732071,-38.5367974,J190417.56-383212.4 ,,,False,marton16,120981
120982,285.8171094,-37.2356369,J190316.10-371408.2 ,-0.71,-0.42,True,marton16,120982
120983,286.0631792,-38.5174201,J190415.16-383102.7 ,,,False,marton16,120983
120984,285.851234,-37.2522046,J190324.29-371507.9 ,-0.91,-0.39,True,marton16,120984
120985,285.5025002,-37.1063513,J190200.60-370622.8 ,,,False,marton16,120985
120987,287.4413726,-37.0740169,J190945.92-370426.4 ,-0.6799662012798529,-0.36996620127985286,False,marton16,120987
120988,287.6807393,-36.9860032,J191043.37-365909.6 ,-0.7118136726875011,-0.40181367268750096,False,marton16,120988
120992,285.4184858,-36.8619126,J190140.43-365142.8 ,-1.53,-0.7,True,marton16,120992
120993,285.5204781,-36.9823549,J190204.91-365856.4 ,-1.3129259001495182,-1.002925900149518,False,marton16,120993
120994,285.5498066,-37.052578,J190211.95-370309.2 ,-1.62,-1.27,True,marton16,120994
120995,285.4924238,-37.1024484,J190158.18-370608.8 ,,,False,marton16,120995
120996,286.0718882,-36.9842685,J190417.25-365903.3 ,-1.5079521321170708,-1.1979521321170707,False,marton16,120996
120997,285.6379016,-36.9726683,J190233.09-365821.6 ,-1.23,-1.09,True,marton16,120997
120998,285.4943578,-36.9381322,J190158.64-365617.2 ,-0.8484296052227911,-0.538429605222791,False,marton16,120998
120999,285.4235262,-36.9981179,J190141.64-365953.2 ,-1.52,-1.04,True,marton16,120999
121000,285.4146493,-36.8502294,J190139.51-365100.8 ,0.5957310987133655,0.9057310987133655,False,marton16,121000
121001,285.7277216,-36.7720671,J190254.65-364619.4 ,-1.4142950566966952,-1.1042950566966951,False,marton16,121001
121002,285.5145724,-37.1028492,J190203.49-370610.2 ,-0.06552483498407893,0.24447516501592112,False,marton16,121002
121003,285.4948442,-36.9639498,J190158.76-365750.2 ,-0.88,-0.35,True,marton16,121003
121004,285.612892,-36.9704218,J190227.09-365813.5 ,-1.68,-1.37,True,marton16,121004
121005,285.4232715,-36.9754587,J190141.58-365831.6 ,0.27,0.75,True,marton16,121005
135322,284.46916666666664,-37.24444444444445,J185752.6-371440,1.52,1.73,True,dunham15,1672
135323,284.93291666666664,-37.06666666666667,J185943.9-370400,-0.33,-0.18,True,dunham15,1673
135324,284.96208333333334,-37.10861111111111,J185950.9-370631,-1.74,-1.53,True,dunham15,1674
135325,285.0645833333333,-36.965833333333336,J190015.5-365757,0.29,0.51,True,dunham15,1675
135326,285.1208333333333,-36.93416666666666,J190029.0-365603,-2.05,-1.57,True,dunham15,1676
135327,285.1620833333333,-36.970555555555556,J190038.9-365814,-2.33,-2.08,True,dunham15,1677
135328,285.2416666666666,-36.75138888888889,J190058.0-364505,-1.95,-1.04,True,dunham15,1679
135329,285.24875,-36.78638888888889,J190059.7-364711,-1.29,-1.03,True,dunham15,1680
135330,285.26333333333326,-37.06083333333333,J190103.2-370339,-2.64,-1.75,True,dunham15,1681
135331,285.31749999999994,-36.941111111111105,J190116.2-365628,-1.45,-1.23,True,dunham15,1682
135332,285.3708333333333,-37.03,J190129.0-370148,-2.26,-2.12,True,dunham15,1684
135333,285.4008333333333,-36.9675,J190136.2-365803,-0.87,-0.34,True,dunham15,1687
135334,285.44999999999993,-36.95611111111111,J190148.0-365722,1.01,0.78,True,dunham15,1689
135335,285.45166666666665,-36.95388888888889,J190148.4-365714,1.19,1.41,True,dunham15,1690
135336,285.4629166666666,-36.90333333333333,J190151.1-365412,-1.12,-0.68,True,dunham15,1691
135337,285.46583333333325,-37.178888888888885,J190151.8-371044,-1.61,-1.47,True,dunham15,1692
135338,285.47375,-37.009166666666665,J190153.7-370033,-1.29,-1.09,True,dunham15,1693
135339,285.4816666666666,-36.9475,J190155.6-365651,0.46,0.6,True,dunham15,1694
135340,285.4883333333333,-36.86805555555556,J190157.2-365205,-0.76,-0.49,True,dunham15,1695
135341,285.5283333333333,-36.97805555555556,J190206.8-365841,-1.02,-0.84,True,dunham15,1696
135342,285.54333333333335,-36.89555555555555,J190210.4-365344,-2.54,-2.24,True,dunham15,1697
135343,285.56083333333333,-37.00888888888889,J190214.6-370032,-1.22,-0.64,True,dunham15,1699
135344,285.7366666666667,-37.121944444444445,J190256.8-370719,0.0,0.15,True,dunham15,1702
135345,285.75416666666666,-37.13138888888889,J190301.0-370753,0.09,0.06,True,dunham15,1703
135346,285.78791666666666,-36.95611111111111,J190309.1-365722,-2.36,-2.02,True,dunham15,1704
135347,285.98,-37.15972222222222,J190355.2-370935,0.23,0.36,True,dunham15,1707
135348,284.73499999999996,-37.12694444444445,J185856.4-370737,-2.47,-2.21,True,dunham15,1708
135349,285.09749999999997,-37.20666666666667,J190023.4-371224,-1.32,-0.95,True,dunham15,1709
135350,285.4599999999999,-36.943888888888885,J190150.4-365638,-1.0,-0.39,True,dunham15,1712
135351,285.4937499999999,-36.952222222222225,J190158.5-365708,0.71,0.88,True,dunham15,1713
135352,285.7441666666667,-37.12638888888889,J190258.6-370735,1.49,1.66,True,dunham15,1714
135353,285.4733333333333,-36.952222222222225,J190153.6-365708,-3.04,-2.55,True,dunham15,1716
135354,285.7783333333333,-37.21361111111111,J190306.8-371249,-0.22,0.36,True,dunham15,1719
135355,285.41999999999996,-36.87583333333333,J190140.8-365233,-1.68,-0.76,True,dunham15,1720
135356,285.46083333333326,-36.969166666666666,J190150.6-365809,0.96,0.92,True,dunham15,1721
135357,285.48041666666666,-36.95583333333334,J190155.3-365721,2.47,2.64,True,dunham15,1723
135358,285.48499999999996,-36.95777777777778,J190156.4-365728,2.56,2.78,True,dunham15,1724
